epoch	val_HM	val_AUC	test_HM	test_AUC	hm_seen	hm_unseen
0	0.4951	0.3229	0.5032	0.3454	0.5552	0.4601
1	0.4164	0.2746	0.498	0.3293	0.4673	0.5331
2	0.5281	0.4171	0.539	0.3951	0.5543	0.5246
3	0.5585	0.4298	0.5514	0.397	0.5445	0.5584
4	0.4829	0.3294	0.5	0.342	0.5474	0.4601
5	0.4278	0.2508	0.4981	0.3623	0.5161	0.4812
6	0.4787	0.3223	0.4745	0.3435	0.5093	0.4442
7	0.4865	0.3465	0.5755	0.4491	0.5367	0.6203
8	0.614	0.4397	0.4939	0.3702	0.4809	0.5077
9	0.6134	0.4656	0.5367	0.3941	0.5953	0.4886
10	0.6296	0.4639	0.4448	0.3215	0.4917	0.4061
11	0.5094	0.3053	0.5382	0.3802	0.5269	0.55
12	0.6793	0.5057	0.5854	0.4343	0.6911	0.5077
val_best	0.5364	0.4019	0.5727	0.4307	0.5787	0.5669
